Yield, Times
0,3703
1,0
2,353
3,30
4,168
5,86
6,121
7,100
8,109
9,103
10,107
11,70
12,78
13,102
14,83
15,93
16,84
17,85
18,112
19,69
20,115
21,58
22,78
23,69
24,89
25,84
26,82
27,80
28,64
29,77
30,86
31,78
32,43
33,96
34,62
35,86
36,73
37,67
38,88
39,55
40,84
41,57
42,65
43,73
44,63
45,65
46,51
47,67
48,70
49,75
50,78
51,73
52,63
53,59
54,73
55,63
56,57
57,69
58,55
59,55
60,71
61,58
62,47
63,70
64,42
65,64
66,41
67,64
68,44
69,59
70,43
71,59
72,48
73,57
74,49
75,66
76,52
77,43
78,50
79,43
80,41
81,33
82,41
83,31
84,35
85,24
86,27
87,28
88,19
89,30
90,18
91,22
92,23
93,19
94,3
95,13
96,6
97,6
98,5
99,0
100,5
