Yield, Times
0,0  
1,0  
2,0  
3,0  
4,0  
5,0  
6,1  
7,0  
8,2  
9,1  
10,1  
11,0  
12,0  
13,0  
14,2  
15,1  
16,0  
17,1  
18,2  
19,3  
20,2  
21,2  
22,2  
23,0  
24,1  
25,4  
26,2  
27,2  
28,0  
29,3  
30,3  
31,1  
32,1  
33,0  
34,1  
35,1  
36,0  
37,3  
38,3  
39,2  
40,3  
41,2  
42,3  
43,3  
44,6  
45,3  
46,8  
47,4  
48,2  
49,7  
50,2  
51,4  
52,3  
53,2  
54,0  
55,1  
56,0  
57,0  
58,0  
59,0  
60,0  
61,0  
62,0  
63,0  
64,0  
65,0  
66,0  
67,0  
68,0  
69,0  
70,0  
71,0  
72,0  
73,0  
74,0  
75,0  
76,0  
77,0  
78,0  
79,0  
80,0  
81,0  
82,0  
83,0  
84,0  
85,0  
86,0  
87,0  
88,0  
89,0  
90,0  
91,0  
92,0  
93,0  
94,0  
95,0  
96,0  
97,0  
98,0  
99,0  
