Yield, Times
0,19   
1,44   
2,67   
3,73   
4,107   
5,107   
6,118   
7,130   
8,142   
9,156   
10,152   
11,142   
12,150   
13,150   
14,156   
15,163   
16,152   
17,144   
18,138   
19,152   
20,142   
21,113   
22,132   
23,150   
24,129   
25,125   
26,136   
27,138   
28,136   
29,110   
30,114   
31,106   
32,115   
33,119   
34,128   
35,90   
36,117   
37,114   
38,103   
39,112   
40,140   
41,124   
42,142   
43,161   
44,165   
45,157   
46,179   
47,231   
48,230   
49,225   
50,293   
51,274   
52,280   
53,312   
54,309   
55,343   
56,283   
57,270   
58,231   
59,214   
60,153   
61,110   
62,93   
63,66   
64,47   
65,28   
66,18   
67,20   
68,4   
69,4   
70,1   
71,1   
72,0   
73,1   
74,0   
75,0   
76,0   
77,0   
78,0   
79,0   
80,0   
81,0   
82,0   
83,0   
84,0   
85,0   
86,0   
87,0   
88,0   
89,0   
90,0   
91,0   
92,0   
93,0   
94,0   
95,0   
96,0   
97,0   
98,0   
99,0 
