Yield,Times
0,2756   
1,1511   
2,911   
3,582   
4,342   
5,310   
6,211   
7,184   
8,120   
9,92   
10,94   
11,77   
12,63   
13,53   
14,43   
15,37   
16,32   
17,20   
18,18   
19,17   
20,13   
21,18   
22,8   
23,10   
24,13   
25,8   
26,8   
27,6   
28,7   
29,7   
30,6   
31,4   
32,5   
33,4   
34,2   
35,5   
36,8   
37,4   
38,6   
39,3   
40,3   
41,2   
42,6   
43,3   
44,3   
45,2   
46,4   
47,2   
48,3   
49,2   
50,4   
51,5   
52,6   
53,2   
54,6   
55,4   
56,4   
57,3   
58,7   
59,4   
60,5   
61,11   
62,8   
63,18   
64,20   
65,29   
66,37   
67,50   
68,55   
69,97   
70,128   
71,142   
72,158   
73,186   
74,202   
75,223   
76,206   
77,164   
78,153   
79,131   
80,104   
81,67   
82,37   
83,42   
84,21   
85,8   
86,2   
87,3   
88,0   
89,0   
90,0   
91,0   
92,0   
93,0   
94,0   
95,0   
96,0   
97,0   
98,0   
99,0 
